nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,perempuan,perkotaan,14.50216365
Keluhan Kesehatan Masyarakat,Papua Barat,2017,perempuan,perkotaan,23.15881782
Keluhan Kesehatan Masyarakat,Papua,2017,perempuan,perkotaan,23.01360663
Keluhan Kesehatan Masyarakat,INDONESIA,2017,perempuan,perkotaan,29.84023348
Keluhan Kesehatan Masyarakat,Aceh,2017,perempuan,perdesaan,26.95937541
Keluhan Kesehatan Masyarakat,Sumatera Utara,2017,perempuan,perdesaan,24.80316123
Keluhan Kesehatan Masyarakat,Sumatera Barat,2017,perempuan,perdesaan,29.02164124
Keluhan Kesehatan Masyarakat,Riau,2017,perempuan,perdesaan,29.45906295
Keluhan Kesehatan Masyarakat,Jambi,2017,perempuan,perdesaan,20.0456069
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2017,perempuan,perdesaan,25.88290428
Keluhan Kesehatan Masyarakat,Bengkulu,2017,perempuan,perdesaan,25.31648059
Keluhan Kesehatan Masyarakat,Lampung,2017,perempuan,perdesaan,30.99400993
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2017,perempuan,perdesaan,25.94154106
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2017,perempuan,perdesaan,21.86384341
Keluhan Kesehatan Masyarakat,DKI Jakarta,2017,perempuan,perdesaan,0
Keluhan Kesehatan Masyarakat,Jawa Barat,2017,perempuan,perdesaan,31.71272224
Keluhan Kesehatan Masyarakat,Jawa Tengah,2017,perempuan,perdesaan,33.81729932
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2017,perempuan,perdesaan,38.02569852
Keluhan Kesehatan Masyarakat,Jawa Timur,2017,perempuan,perdesaan,32.80460242
Keluhan Kesehatan Masyarakat,Banten,2017,perempuan,perdesaan,29.12568
Keluhan Kesehatan Masyarakat,Bali,2017,perempuan,perdesaan,34.39245283
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2017,perempuan,perdesaan,32.55412679
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2017,perempuan,perdesaan,36.21255599
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2017,perempuan,perdesaan,25.88609689
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2017,perempuan,perdesaan,25.71792641
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2017,perempuan,perdesaan,32.81131497
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2017,perempuan,perdesaan,20.2450684
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,perempuan,perdesaan,30.36208857
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,perempuan,perdesaan,29.90787949
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,perempuan,perdesaan,32.18638558
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,perempuan,perdesaan,25.74540575
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,perempuan,perdesaan,24.45420593
